Date,Cases,Prediction,Error
02/01/2016,0,,
09/01/2016,0,0,0
16/01/2016,0,0,0
23/01/2016,0,0,0
30/01/2016,0,0,0
06/02/2016,0,0,0
13/02/2016,0,0,0
20/02/2016,0,0,0
27/02/2016,0,0,0
05/03/2016,0,0,0
12/03/2016,0,0,0
19/03/2016,0,0,0
26/03/2016,0,0,0
02/04/2016,0,0,0
09/04/2016,0,0,0
16/04/2016,0,0,0
23/04/2016,0,0,0
30/04/2016,0,0,0
07/05/2016,0,0,0
14/05/2016,0,0,0
21/05/2016,0,0,0
28/05/2016,0,0,0
04/06/2016,0,0,0
11/06/2016,1,0,-1
18/06/2016,0,1,1
25/06/2016,4,0,-4
02/07/2016,6,4,-2
09/07/2016,10,6,-4
16/07/2016,8,10,2
23/07/2016,5,8,3
30/07/2016,6,5,-1
06/08/2016,2,6,4
13/08/2016,2,2,0
20/08/2016,8,2,-6
27/08/2016,13,8,-5
03/09/2016,29,13,-16
10/09/2016,12,29,17
17/09/2016,13,12,-1
24/09/2016,14,13,-1
01/10/2016,11,14,3
08/10/2016,25,11,-14
15/10/2016,13,25,12
22/10/2016,25,13,-12
29/10/2016,23,25,2
05/11/2016,18,23,5
12/11/2016,11,18,7
19/11/2016,7,11,4
26/11/2016,3,7,4
03/12/2016,3,3,0
10/12/2016,3,3,0
17/12/2016,0,3,3
24/12/2016,1,0,-1
31/12/2016,1,1,0
07/01/2017,0,1,1
14/01/2017,0,0,0
21/01/2017,0,0,0
28/01/2017,0,0,0
04/02/2017,0,0,0
11/02/2017,0,0,0
18/02/2017,0,0,0
25/02/2017,0,0,0
04/03/2017,0,0,0
11/03/2017,0,0,0
18/03/2017,0,0,0
25/03/2017,0,0,0
01/04/2017,0,0,0
08/04/2017,0,0,0
15/04/2017,0,0,0
22/04/2017,0,0,0
29/04/2017,0,0,0
06/05/2017,0,0,0
13/05/2017,0,0,0
20/05/2017,0,0,0
27/05/2017,0,0,0
03/06/2017,0,0,0
10/06/2017,0,0,0
17/06/2017,0,0,0
24/06/2017,0,0,0
01/07/2017,0,0,0
08/07/2017,0,0,0
15/07/2017,0,0,0
22/07/2017,0,0,0
29/07/2017,0,0,0
05/08/2017,0,0,0
12/08/2017,0,0,0
19/08/2017,0,0,0
26/08/2017,0,0,0
02/09/2017,0,0,0
09/09/2017,0,0,0
16/09/2017,0,0,0
23/09/2017,0,0,0
30/09/2017,0,0,0
07/10/2017,0,0,0
14/10/2017,0,0,0
21/10/2017,0,0,0
28/10/2017,2,0,-2
04/11/2017,0,2,2
11/11/2017,0,0,0
18/11/2017,0,0,0
25/11/2017,0,0,0
02/12/2017,0,0,0
09/12/2017,1,0,-1
16/12/2017,0,1,1
23/12/2017,0,0,0
30/12/2017,0,0,0
06/01/2018,0,0,0
13/01/2018,0,0,0
20/01/2018,0,0,0
27/01/2018,0,0,0
03/02/2018,0,0,0
10/02/2018,0,0,0
17/02/2018,0,0,0
24/02/2018,0,0,0
03/03/2018,0,0,0
10/03/2018,0,0,0
17/03/2018,0,0,0
24/03/2018,0,0,0
31/03/2018,0,0,0
07/04/2018,0,0,0
14/04/2018,0,0,0
21/04/2018,0,0,0
28/04/2018,0,0,0
05/05/2018,0,0,0
